method,num_specs,num_designs,avg_syntax,avg_functionality,total_proven,total_falsified,total_undetermined,avg_tool_calls,avg_jg_iterations,avg_wall_time_s
Full_Pipeline,18,6,0.9444444444444444,0.9166666666666666,23,3,0,5.111111111111111,1.2777777777777777,107.40198976463742
Baseline,18,6,0.8333333333333334,0.6018518518518519,16,5,0,0.0,0.0,0.0
Ablation_no_verify,18,6,0.8888888888888888,0.75,19,5,0,4.222222222222222,0.0,50.94197630882263
Ablation_no_jg_tools,18,6,0.7222222222222222,0.5,11,4,0,2.888888888888889,0.0,138.63742744922638
Ablation_no_rag,18,6,0.5,0.3333333333333333,11,4,0,3.0555555555555554,1.2777777777777777,281.6291009982427
Ablation_no_tools,18,6,0.5555555555555556,0.2222222222222222,5,7,0,0.0,0.0,115.43952209419675
