method,num_specs,num_designs,avg_syntax,avg_functionality,total_proven,total_falsified,total_undetermined,avg_tool_calls,avg_jg_iterations,avg_wall_time_s
Pipeline,576,192,0.8489583333333334,0.7427129065140161,790,260,0,4.819444444444445,1.2795138888888888,100.84714079689648
Baseline,576,192,0.7829861111111112,0.4323257080610022,445,246,0,0.0,0.0,0.0
Mistral_24B_Pipeline,570,190,0.8035087719298246,0.5012157658639352,419,724,0,0.0,0.0,0.0
Mistral_24B_Baseline,558,186,0.6577060931899642,0.310752688172043,249,200,0,0.0,0.0,0.0
Ablation_no_rag,108,36,0.7407407407407407,0.5779320987654321,80,24,0,4.712962962962963,1.5925925925925926,163.52685778008566
Ablation_no_verify,108,36,0.8055555555555556,0.6287037037037037,99,28,0,4.148148148148148,0.0,83.48074744145076
Ablation_no_jg_tools,108,36,0.7407407407407407,0.5407407407407407,72,27,0,2.962962962962963,0.0,103.40241532634806
Ablation_no_tools,108,36,0.5925925925925926,0.30401234567901236,39,40,0,0.0,0.0,85.21914407058999
